region,OBJECTID,site_ID,AUTHORIZATION_TYPE,company_person,Expiry Date of Lease/Permit/Licence,Cultivation Method,Site Size (HA),species,species_type
New Brunswick,164,MS-1390,Q09,Émile Basque,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",12.33,,Shellfish
New Brunswick,167,MS-0729,Q09,Sylvio LeBlanc,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",4.93,,Shellfish
New Brunswick,169,MS-0361,Q09,Michel Savoie et Philippe Doiron,"April 1, 2027",Bottom culture,10.96,,Shellfish
New Brunswick,172,MS-0524,Q09,Manon Lanteigne et Benoit Lebeau,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",5.95,,Shellfish
New Brunswick,174,MS-1346,Q09,Donald Caissie,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",7.72,,Shellfish
New Brunswick,175,MS-1324,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",4.85,,Shellfish
New Brunswick,176,MS-0804,Q09,Frederick Benoit,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",4.86,,Shellfish
New Brunswick,180,MS-1313,Q11,Roger Rousselle,"April 1, 2026",Suspended culture,2.3,,Shellfish
New Brunswick,181,MS-1376,Q09,Benoît Brideau,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",2.5,,Shellfish
New Brunswick,183,MS-0063,Q09,Indian Island First Nation,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",5.21,,Shellfish
New Brunswick,185,MS-1299,Q09,Eymard Noël et Rose-Mai Noël,"April 1, 2027",Bottom culture,4.05,,Shellfish
New Brunswick,187,MS-1395,Q09,Les Huîtres de Néguac Ltée / Neguac Oysters Ltd.,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",2.56,,Shellfish
New Brunswick,189,MS-0409,Q09,Eric Savoie,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",4.05,,Shellfish
New Brunswick,191,MS-1081,Q09,Martial Power,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",9.05,,Shellfish
New Brunswick,193,MS-0632,Q09,Sebastian Savoie,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,196,MS-0772,Q09,Sebastian Savoie,"April 1, 2027",Bottom culture,2.1,,Shellfish
New Brunswick,200,MS-1120,Q09,L'ETANG RUISSEAU BAR LIMITEE,"March 27, 2027","Bottom culture,Off-bottom culture,Suspended culture",6.6,,Shellfish
New Brunswick,202,MS-1219,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",12.15,,Shellfish
New Brunswick,204,MS-1017,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",4.86,,Shellfish
New Brunswick,206,MS-0770,Q09,Mélodia Benoit et Sébastien Benoit,"April 1, 2027",Bottom culture,1.09,,Shellfish
New Brunswick,208,MS-1379,Q09,Jean-Baptiste Savoie,"April 1, 2027",Bottom culture,6.38,,Shellfish
New Brunswick,210,MS-1269,Q09,Jean-Claude Breau,"April 1, 2027",Bottom culture,5.58,,Shellfish
New Brunswick,212,MS-0373,Q09,Pêcheries Germain Landry Inc.,"April 1, 2027",Bottom culture,4.86,,Shellfish
New Brunswick,214,MS-0695,Q09,Michel Savoie,"April 1, 2027",Bottom culture,1.01,,Shellfish
New Brunswick,216,MS-1357,Q09,Cocagne Aquaculture Inc.,"April 1, 2028","Bottom culture,Cage Culture,Not Applicable,Off-bottom culture",5.41,,Shellfish
New Brunswick,217,MS-1360,Q09,David Richard,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,218,MS-1405,Q09,Melanson Oyster Growers Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",2.46,,Shellfish
New Brunswick,220,MS-1355,Q09,ANCHOROCK ENTERPRISE INC.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,221,MS-1382,Q09,LeBlanc Oyster Bay Ltd.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,222,MS-1406,Q09,M & R Oyster Farm Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",1.68,,Shellfish
New Brunswick,224,MS-1361,Q09,M & R Oyster Farm Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",3.32,,Shellfish
New Brunswick,225,MS-1380,Q09,Southeast Aquaculture Sud-Est Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,230,MS-1383,Q09,Norm's Oyster Farm Ltd.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,233,MS-0967,Q09,ANCHOROCK ENTERPRISE INC.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",4.86,,Shellfish
New Brunswick,234,MS-0276,Q09,Luc Bussière,"April 1, 2028",Bottom culture,1.62,,Shellfish
New Brunswick,236,MS-1384,Q09,ALLAIN AQUACULTURE INC.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,238,MS-1402,Q09,Hugues Chiasson,"April 1, 2028",Bottom culture,2.42,,Shellfish
New Brunswick,240,MS-1075,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.14,,Shellfish
New Brunswick,242,MS-1076,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",3.84,,Shellfish
New Brunswick,244,MS-1347,Q09,Jean-Marc Poirier,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",3.42,,Shellfish
New Brunswick,246,MS-1381,Q09,King Aquaculture Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.25,,Shellfish
New Brunswick,248,MS-1393,Q09,Buctouche MicMac Band,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,250,MS-1221,Q11,Everard Thibodeau,"April 1, 2023","Bottom culture,Off-bottom culture,Suspended culture",3.5,,Shellfish
New Brunswick,251,MS-1205,Q09,Everard Thibodeau,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",6,,Shellfish
New Brunswick,253,MS-1387,Q09,Indian Island First Nation,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",10,,Shellfish
New Brunswick,254,MS-1412,Q09,Archie Allain,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",10.8,,Shellfish
New Brunswick,256,MS-1365,Q09,Les Huîtres Maroma Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.36,,Shellfish
New Brunswick,258,MS-0522,Q09,Anthony McGraw,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",3.24,,Shellfish
New Brunswick,260,MS-1413,Q09,Les Huîtres de Néguac Ltée / Neguac Oysters Ltd.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.32,,Shellfish
New Brunswick,262,MS-0046,Q09,Mario Duguay,"April 1, 2028",Bottom culture,3.24,,Shellfish
New Brunswick,264,MS-1372,Q09,Gilles Allain,"April 1, 2028",Bottom culture,5.94,,Shellfish
New Brunswick,266,MS-1327,Q09,Indian Island First Nation,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",3.6,,Shellfish
New Brunswick,269,MS-0172,Q09,Indian Island First Nation,"April 1, 2028",Bottom culture,3.24,,Shellfish
New Brunswick,270,MS-0114,Q09,Sylvain Larocque et Marilyn Larocque,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.55,,Shellfish
New Brunswick,272,MS-1018,Q09,Gilles Allain,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",4.86,,Shellfish
New Brunswick,274,MS-0083,Q09,Philippe Breau,"April 1, 2028",Bottom culture,2.43,,Shellfish
New Brunswick,275,MS-0028,Q09,Philippe Breau,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",2.19,,Shellfish
New Brunswick,280,MS-0480,Q09,R.M.L. PECHE LTEE,"April 1, 2029",Bottom culture,1.21,,Shellfish
New Brunswick,282,MS-1353,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",6.48,,Shellfish
New Brunswick,283,MS-0634,Q09,Eric Larocque,"April 1, 2029",Bottom culture,11.86,,Shellfish
New Brunswick,285,MS-1338,Q09,Benic Oysters Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",4.46,,Shellfish
New Brunswick,287,MS-1377,Q09,King Aquaculture Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",2.03,,Shellfish
New Brunswick,289,MS-1158,Q09,Sonia Losier,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",5.07,,Shellfish
New Brunswick,291,MS-1352,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",9.07,,Shellfish
New Brunswick,292,MS-0825,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",12.29,,Shellfish
New Brunswick,294,MS-1394,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",6.79,,Shellfish
New Brunswick,295,MS-1404,Q09,Serge Thomas et Jessey Thomas,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,297,MS-1403,Q09,Yves Arseneau,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",8,,Shellfish
New Brunswick,299,MS-1399,Q09,Jean-Marc Poirier,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",1.19,,Shellfish
New Brunswick,300,MS-1391,Q09,M Poirier Aquaculture Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",3.97,,Shellfish
New Brunswick,302,MS-1283,Q09,Allain Oyster Grow Ltd.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",3.64,,Shellfish
New Brunswick,304,MS-1339,Q09,Paul Martin,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",0.76,,Shellfish
New Brunswick,305,MS-0277,Q09,Nicolas Filiatrault,"April 1, 2029",Bottom culture,2.02,,Shellfish
New Brunswick,307,MS-0917,Q09,L2 - Recherche & Production Aquacole Inc.,"April 1, 2029",Suspended culture,16.22,,Shellfish
New Brunswick,309,MS-1416,Q09,Noël Benoît et Stéphanie Vienneau,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",5.58,,Shellfish
New Brunswick,311,MS-0819,Q09,Philippe Levesque Allain,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",0.69,,Shellfish
New Brunswick,313,MS-1414,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",2.37,,Shellfish
New Brunswick,316,MS-0225,Q09,Denis Doiron,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",8.33,,Shellfish
New Brunswick,318,MS-0737,Q09,Maurice Daigle,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",13.1,,Shellfish
New Brunswick,321,MS-0630,Q09,Dave Hébert,"April 1, 2029",Bottom culture,2.43,,Shellfish
New Brunswick,322,MS-1407,Q09,Acadian Bay Sea Products Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",5.73,,Shellfish
New Brunswick,324,MS-1194,Q09,Acadian Bay Sea Products Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",6.8,,Shellfish
New Brunswick,327,MS-1367,Q09,Acadian Bay Sea Products Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",1.7,,Shellfish
New Brunswick,329,MS-1344,Q09,Acadian Bay Sea Products Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",6.47,,Shellfish
New Brunswick,331,MS-1214,Q09,Roger Rousselle,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",3,,Shellfish
New Brunswick,333,MS-0076,Q09,Roger Rousselle,"April 1, 2029",Bottom culture,1.34,,Shellfish
New Brunswick,335,MS-1351,Q09,King Aquaculture Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",7.62,,Shellfish
New Brunswick,337,MS-0740,Q09,Indian Island First Nation,"April 1, 2029",Bottom culture,6.79,,Shellfish
New Brunswick,339,MS-1425,Q09,Albenie Dugas,"April 1, 2029",Bottom culture,4.31,,Shellfish
New Brunswick,341,MS-1426,Q09,Succession Alma Dugas,"April 1, 2029",Bottom culture,4.31,,Shellfish
New Brunswick,343,MS-0514,Q09,Roger Rousselle,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",1.21,,Shellfish
New Brunswick,345,MS-1321,Q09,Acadian Bay Sea Products Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",10.25,,Shellfish
