"species_type","site_ID","license_type","company_person","Operating group","site_name","species","latitude","longitude","location"
"Shellfish","962","Shellfish facility","Taylor Shellfish Canada ULC","","Henry Bay, Denman Island, Baynes Sound","","49.58326","-124.84233",""
"Shellfish","963","Shellfish facility","Taylor Shellfish Canada ULC","","Baynes Sound","","49.47986","-124.78389",""
"Shellfish","964","Shellfish facility","Taylor Shellfish Canada ULC","","Fanny Bay, Baynes Sound","","49.50461","-124.80384",""
"Shellfish","965","Shellfish facility","Taylor Shellfish Canada ULC","","Baynes Sound","","49.50215","-124.79978",""
"Shellfish","968","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Baynes Sound","","49.57020","-124.87764",""
"Shellfish","975","Shellfish facility","Casanova Seafoods Inc.","","Sproat Bay","","48.90379","-125.08019",""
"Shellfish","976","Shellfish facility","David Kulhawy","","Tzartus Island, Sproat Bay","","48.90728","-125.07934",""
"Shellfish","977","Shellfish facility","Sawmill Bay Shellfish Company Ltd.","","Evans Bay, Read Island","","50.19761","-125.06354",""
"Shellfish","985","Shellfish facility","Sea Spray Aquaculture Ltd.","","Espinosa Inlet, Nootka Sound","","49.93967","-126.91724",""
"Shellfish","986","Shellfish facility","Sea Spray Aquaculture Ltd.","","Little Espinosa Inlet","","49.95527","-126.91147",""
"Shellfish","987","Shellfish facility","Mink Island Holding Company, Inc.","","Mink Island, Desolation Sound","","50.10641","-124.75679",""
"Shellfish","989","Shellfish facility","Island Sea Farms Inc.","","Gorge Harbour, Cortes Island","","50.09772","-124.98471",""
"Shellfish","991","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Henry Bay, Baynes Sound","","49.58780","-124.83980",""
"Shellfish","992","Shellfish facility","Bonne Le, Ai Thuy Tran and Tuan Anh Le","","Comox Harbour, Baynes Sound","","49.60943","-124.89836",""
"Shellfish","993","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Fanny Bay, Baynes Sound","","49.50407","-124.81160",""
"Shellfish","996","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Baynes Sound","","49.54698","-124.83779",""
"Shellfish","999","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","West side of Hornby Island","","49.51908","-124.70755",""
"Shellfish","1000","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Henry Bay, West Denman Island","","49.59744","-124.83586",""
"Shellfish","1001","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Baynes Sound","","49.58829","-124.83846",""
"Shellfish","1002","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Baynes Sound","","49.56971","-124.84303",""
"Shellfish","1004","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Denman Point, Denman Island, Baynes Sound","","49.55945","-124.84681",""
"Shellfish","1005","Shellfish facility","Baynes Sound Oyster Co. Ltd.","","Baynes Sound","","49.56832","-124.87630",""
"Shellfish","1007","Shellfish facility","Taylor Shellfish Canada ULC","","Trevenen Bay, Malaspina Inlet","","50.02193","-124.74207",""
"Shellfish","1009","Shellfish facility","Super Shell Enterprises Ltd","","Trevenen Bay","","50.02956","-124.75303",""
"Shellfish","1010","Shellfish facility","British Coastal Bi Valve + Ltd","","Trevenen Bay","","50.03641","-124.76499",""
"Shellfish","1012","Shellfish facility","Twin Islands Aquaculture Ltd.","","Twin Islands","","50.03158","-124.93385",""
"Shellfish","1013","Shellfish facility","Ian D. Winter","","Gorge Harbour, Cortes Island","","50.10156","-125.03044",""
"Shellfish","1014","Shellfish facility","Ian D. Winter","","Pill Island, Gorge Harbour, Cortes Island","","50.10047","-124.99357",""
"Shellfish","1015","Shellfish facility","Lasqueti Island Seafoods Ltd.","","SE Wells Point, Tucker Bay, Lasqueti Is.","","49.50257","-124.27685",""
"Shellfish","1018","Shellfish facility","Mary McLellan and Pamela McLellan","","Denman Island","","49.56628","-124.84392",""
"Shellfish","1019","Shellfish facility","Timothy Oyster Co. Ltd.","","Ladysmith Harbour, Sibell Bay","","48.98991","-123.77835",""
"Shellfish","1024","Shellfish facility","Robert Paquin and Ray Bloomquist","","Okeover Inlet","","49.98987","-124.69171",""
"Shellfish","1029","Shellfish facility","Nootka Sound Shellfish Ltd.","","Hanna Channel, Nootka Sound","","49.67728","-126.47509",""
"Shellfish","1030","Shellfish facility","Cooper's Cove Oyster Farm Ltd.","","Phipps Point, Hornby Island","","49.53756","-124.71266",""
"Shellfish","1050","Shellfish facility","Nootka Sound Shellfish Ltd.","","Plumper Harbour, Kendrick Inlet, Nootka Sound","","49.69642","-126.63598",""
"Shellfish","1054","Shellfish facility","Shayne Sadler and S&H Mariculture Ltd.","","N. of Adventure Cove, Lemmens Inlet","","49.21164","-125.84134",""
"Shellfish","1071","Shellfish facility","Skaiakos Point Oysters Inc","","Sechelt Inlet","","49.57225","-123.81386",""
"Shellfish","1119","Shellfish facility","Lucky 1's Oyster Co. Ltd.","","Nanoose Bay","","49.26929","-124.16661",""
"Shellfish","1121","Shellfish facility","Katherine Mclaggan and Stuart Victor Mclaggan","","N. of Quartz Bay, Cortes Island","","50.17448","-124.98532",""
"Shellfish","1132","Shellfish facility","Webster Isle Transport Ltd.","","Effingham Inlet","","49.00372","-125.19246",""
"Shellfish","1155","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","","Fanny Bay, West of Ship Point","","49.50626","-124.81534",""
"Shellfish","1163","Shellfish facility","377333 British Columbia Ltd.","","Baynes Sound","","49.54296","-124.85561",""
"Shellfish","1177","Shellfish facility","401619 British Columbia Ltd.","","East of Mud Bay, Baynes Sound","","49.47382","-124.76441",""
"Shellfish","1186","Shellfish facility","Granscal Sea Farms Ltd.","","Kanish Bay, Quadra Island","","50.24669","-125.32619",""
"Shellfish","1202","Shellfish facility","Taylor Shellfish Canada ULC","","NE of Church Point","","50.19195","-124.77058",""
"Shellfish","1204","Shellfish facility","Edward A Woodard","","Moon Bay, Agamemnon Channel","","49.67194","-124.08610",""
"Shellfish","1216","Shellfish facility","Happy As A Clam Shellfish Ltd.","","Bay at northern end of Twin Islands","","50.04054","-124.96524",""
"Shellfish","1218","Shellfish facility","Theodosia Seafoods Inc.","","Theodosia Inlet","","50.06648","-124.69456",""
"Shellfish","1235","Shellfish facility","Taylor Shellfish Canada ULC","","S. End Okeover Inlet","","49.96580","-124.68312",""
"Shellfish","1247","Shellfish facility","Snuneymuxw First Nation","","Dodd Narrows","","49.12379","-123.80647",""
"Shellfish","1251","Shellfish facility","Snuneymuxw First Nation","","Stuart Channel, Mudge Island","","49.12915","-123.79612",""
"Shellfish","1253","Shellfish facility","Snuneymuxw First Nation","","Degnen Bay, Gabriola Island","","49.13156","-123.71553",""
"Shellfish","1261","Shellfish facility","Odyssey Shellfish Ltd.","","Deep Bay, Baynes Sound","","49.46040","-124.74417",""
"Shellfish","1276","Shellfish facility","Kristen L. Scholfield-Sweet and John Shook","","Plunger Passage, Cortes Island","","50.12152","-125.05687",""
"Shellfish","1310","Shellfish facility","Island Scallops Ltd.","","East of Bowser","","49.44533","-124.65461",""
"Shellfish","1328","Shellfish facility","Effingham Shellfish Producers Inc.","","Effingham Inlet, Near Webster Island","","49.00748","-125.16938",""
"Shellfish","1337","Shellfish facility","Snuneymuxw First Nation","","False Narrows Between Gabriola and Mudge Islands","","49.13040","-123.77047",""
"Shellfish","1373","Shellfish facility","Island Sea Farms Inc.","","Fredric Bay, Read Island","","50.18711","-125.05011",""
"Shellfish","1396","Shellfish facility","Benjamin Michael Rendall","","Deadman Island, Uganda Passage","","50.07853","-125.00153",""
"Shellfish","1405","Shellfish facility","Fan Seafoods Limited","","Crescent Bay, Texada Island","","49.76868","-124.62691",""
"Shellfish","1411","Shellfish facility","Oh La La Oyster Corporation - Inc","","Okeover Inlet","","49.98725","-124.70447",""
"Shellfish","1415","Shellfish facility","Colin Calvert","","Fidalgo Passage, Bligh Island","","49.65604","-126.54309",""
"Shellfish","1428","Shellfish facility","Tammy Nguyen, Bonne Le, Tuan Anh Le and John J. Le","","Mud Bay, Baynes Sound","","49.48413","-124.79233",""
"Shellfish","1429","Shellfish facility","Matthew Daniel Carey","","NE side of Marina Island","","50.07708","-125.03615",""
"Shellfish","1441","Shellfish facility","Fan Seafoods Limited","","Marina Island, NE of Marina Reef","","50.04359","-125.04901",""
