site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Eughlam,10000796,FS1233,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,28-Apr-11,NB162389,Western Isles,Yes,Breasclete Pier,Breasclete,,HS2 9ED,,Fish,Seawater,Medium,116200,938900,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Vuia Mor,10000879,FS1103,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Mar-07,NB126343,Western Isles,Yes,Miavaig Pier,Uig,,HS2 9HW,,Fish,Seawater,Medium,112600,934300,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Vacasay,10000790,FS1091,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,30-Nov-05,NB193361,Western Isles,Yes,Breasclete Pier,Breasclete,,HS2 9ED,,Fish,Seawater,Medium,119300,936100,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Geocrab Incubation Hatchery,10000743,FS1086,Atlantic Salmon,Eggs (green or eyed),N/A,0,N/A,14-Dec-04,NG112906,Western Isles,Yes,Geocrab Mill,Geocrab,South Harris,HS3 3HB,,Fish,Freshwater,High,111200,890600,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Strone,10000913,FS1056,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,10-Mar-03,NS080724,Argyll and Bute,Yes,Toward,Argyll,Argyll,PA23 7UJ,,Fish,Seawater,Medium,208000,672400,19b - Kyles of Bute,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Couldoran Incubation Unit,10000800,FS1051,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,24-Jan-03,NG841441,Highland,Yes,Couldoran,Kishorn,,IV54 8UY,,Fish,Freshwater,High,184100,844100,Not in a management area,Highland,Bakkafrost Scotland,Atlantic Salmon
Strondoir Bay,10000904,FS1019,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,20-Mar-01,NR856795,Argyll and Bute,Yes,Stronachullin,Tarbert Road,"ArdrIshaig, Argyll",PA30 8ET,,Fish,Seawater,Medium,185600,679500,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
East Tarbert Bay,10000819,FS1010,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,05-Dec-00,NR672531,Argyll and Bute,Yes,Highfield,Argyll,Argyll,PA41 7AA,,Fish,Seawater,Medium,167200,653100,18b - Gigha,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Gousam,10000873,FS0998,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,17-Jul-00,NB111339,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,111100,933900,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Rodel,10000269,FS0953,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,05-May-99,NG043827,Western Isles,No,N/A,,,,,Fish,Seawater,,104300,882700,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
