site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Loch Na Creige Fraoich,10001494,FS0861,Atlantic Salmon,Fish weighing more than 5 grams,N/A,1,N/A,06-Oct-95,NB344241,Western Isles,No,Seafield,Scalpay,Western Isles,HS4 3XZ,07876 230056,Fish,Freshwater,Low,134400,924100,Not in a management area,Western Isles,Meavag Fish Farming,Atlantic Salmon
Loch Nan Ritheanan,10001491,FS0506,Atlantic Salmon,Fish weighing more than 5 grams,N/A,1,N/A,21-Mar-94,NB355235,Western Isles,Yes,Seafield,Scalpay,Western Isles,HS4 3XZ,,Fish,Freshwater,Low,135500,923500,Not in a management area,Western Isles,Meavag Fish Farming,Atlantic Salmon
Loch Sandabhat,10001492,FS0762,Atlantic Salmon,Fish weighing more than 5 grams,N/A,1,N/A,23-Feb-94,NB366279,Western Isles,No,Seafield,Scalpay,Western Isles,HS4 3XZ,07876 230056,Fish,Freshwater,Low,136600,927900,Not in a management area,Western Isles,Meavag Fish Farming,Atlantic Salmon
Loch Thobta Bridhein,10001493,FS0330,Atlantic Salmon,Fish weighing more than 5 grams,N/A,1,N/A,15-Feb-92,NB336274,Western Isles,No,Seafield,Scalpay,Western Isles,HS4 3XZ,,Fish,Freshwater,Low,133600,927400,Not in a management area,Western Isles,Meavag Fish Farming,Atlantic Salmon
Meavag Hatchery,20000971,FS0403,N/A,N/A,Freshwater Tanks,17,"2x5m diam  3x3m diam
 12x3.6m diam",01-Jan-88,NG159962,Western Isles,Yes,Seafield,Scalpay,Western Isles,HS4 3XZ,07876 230056,Fish,Freshwater,Medium,115900,896200,Not in a management area,Western Isles,Meavag Fish Farming,N/A
Human Genetics Unit,20000985,FS1105,N/A,N/A,Freshwater Tanks,1000,Aquarium Tanks,15-Jun-07,NT231752,City of Edinburgh,No,Edinburgh Cancer Research Centre,University of Edinburgh,"Crewe Road South, ",EH4 2XR,,Fish,Freshwater,Low,323100,675200,Not in a management area,Lothian,Medical Research Council,N/A
Jubilee Loch Shin,10001044,FS0890,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,01-Nov-96,NC394242,Highland,Yes,Loch Shin,Overscaig Jubilee Plantation,"by Lairg, Sutherland",IV27 4NY,,Fish,Freshwater,Low,239400,924200,Not in a management area,Highland,Migdale Smolts Ltd,Atlantic Salmon
Loch Damph South,10000865,FS0300,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,01-Jan-85,NG860479,Highland,Yes,Loch Damph,Kishorn,,IV54 8UY,,Fish,Freshwater,High,186000,847900,Not in a management area,Highland,Migdale Smolts Ltd,Atlantic Salmon
Loch Broom,10005151,SS0944,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,03-Feb-21,NH165876,Highland,Yes,Taobh Dorch,Letters,Loch Broom,IV23 25D,,Shellfish,Seawater,Low,216500,887600,10b - Loch Broom,Highland,Mikietyn Ltd,Common mussel
Resolis Native Oyster Nursery,10006548,SS0979,Flat or native oyster,Shellfish adults/saleable size,N/A,0,N/A,29-Jul-24,NH659664,Highland,New,3 Broomhill Cottages,Farr,,IV2 6XF,,Shellfish,Seawater,High,265900,866400,,Highland,Mossy Earth Ltd,Flat or native oyster
Stulaigh South,10006589,FS1370,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,27-Jun-25,NF833220,Western Isles,New,Stulaigh South Fish Farm,The Gasaigh Island,Lochboisdale,HS8 5TH,01851 830380,Fish,Seawater,Medium,83300,822000,7b - South Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
North Kilbrannan,10006488,FS1365,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,19-Feb-24,NR837497,Argyll and Bute,New,Mowi Scotland Ltd,The Red Shed,Carradale Argyll,PA28 6SB,,Fish,Seawater,Medium,183700,649700,19c - E Kintyre,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
An Camus,10000426,FS1341,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,20-Jan-20,NF826174,Western Isles,Yes,Lochboisdale,Gasay Island,,HS8 5TH,,Fish,Seawater,Medium,82600,817400,7b - South Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Scalpay,10000453,FS1338,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,13-Jan-20,NG641287,Highland,Yes,"Caol Mhor, Maol Ban",Sconser,,IV48 8TD,,Fish,Seawater,Medium,164100,828700,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Mowi Scotland Ltd,Atlantic Salmon
Grey Horse Channel Outer,10000388,FS1334,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,18-Sep-19,NF993754,Western Isles,Yes,Hoebeg Cheesebay,Lochmaddy,,HS6 5AT,,Fish,Seawater,Medium,99300,875400,5c - E North Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Sconser Quarry,10000355,FS1330,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Feb-19,NG562321,Highland,Yes,"Caol Mhor, Maol Ban",Sconser,,IV48 8TD,,Fish,Seawater,High,156200,832100,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Mowi Scotland Ltd,Atlantic Salmon
Rum,10000450,FS1317,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,15-Jun-18,NG411030,Highland,Yes, Rum Fish Farm,,,PH43 4RR,,Fish,Seawater,Low,141100,803000,15g - Rum,Highland,Mowi Scotland Ltd,Atlantic Salmon
Wrasse Broodstock Unit,20000328,FS1307,N/A,N/A,Seawater Tanks,12,3m diameter fibreglass tanks,21-Dec-16,NR629208,Argyll and Bute,Yes,Lossit Point,Machrihanish,Argyll,PA28 6PZ,,Fish,Seawater,Low,162900,620800,18c - Machrihanish,Strathclyde,Mowi Scotland Ltd,N/A
Tabhaigh,10000397,FS1297,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,11-May-15,NB416231,Western Isles,Yes,Keose Pier,Keose,,HS2 9JT,,Fish,Seawater,Medium,141600,923100,5a - E Lewis,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Colonsay,10000468,FS1296,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,09-Apr-15,NR434968,Argyll and Bute,Yes,Stob Ban House,Glen Nevis Business Park,,PH33 6RX,,Fish,Seawater,Low,143400,696800,16e - Colonsay,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Caolas A Deas,10000409,FS1291,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,05-Nov-14,NB362100,Western Isles,Yes,Lemreway Pier,South Lochs,,HS2 9RD,,Fish,Seawater,High,136200,910000,5a - E Lewis,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Muck,10000475,FS1286,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,12-May-14,NM433804,Highland,Yes,The Pier,Isle of Muck,Inverness-shire,PH41 2RP,,Fish,Seawater,Low,143300,780400,15e - Muck,Highland,Mowi Scotland Ltd,Atlantic Salmon
Lochailort Recirculation Hatchery,10000420,FS1269,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,06-Mar-13,NM767818,Highland,Yes,Lochailort,Inverness-shire,,PH38 4LZ,,Fish,Freshwater,High,176700,781800,Not in a management area,Highland,Mowi Scotland Ltd,Atlantic Salmon
Hellisay,10000465,FS1261,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,23-Feb-12,NF759032,Western Isles,Yes,Sound of Hellisay Salmon Farm,Ardveenish North Bay,Isle of Barra Western Isles,HS9 5YA,,Fish,Seawater,Low,75900,803200,7c - Barra,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Stulaigh,10000429,FS1259,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,10-Feb-12,NF825241,Western Isles,Yes,Lochboisdale,Gasay Island,,HS8 5TH,,Fish,Seawater,Medium,82500,824100,7b - South Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Eilean Grianain,10000441,FS1176,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,23-Mar-10,NR816412,Argyll and Bute,Yes,Mowi Scotland Ltd,The Red Shed,Carradale Argyll,PA28 6SB,,Fish,Seawater,Medium,181600,641200,19c - E Kintyre,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Grey Horse Channel,10000391,FS1122,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,14-May-09,NF984754,Western Isles,Yes,Hoebeg Cheesebay,Lochmaddy,,HS6 5AT,,Fish,Seawater,Medium,98400,875400,5c - E North Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Trilleachan Mor,10000782,FS1118,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,15-Aug-08,NB208073,Western Isles,Yes,The Old Ruin,Maaruig,,HS3 3AG,,Fish,Seawater,Medium,120800,907300,"5b - SE Lewis, E Harris",Western Isles,Mowi Scotland Ltd,Atlantic Salmon
South Moine,10000303,FS1111,Atlantic Salmon,Broodfish,N/A,0,N/A,08-May-08,NM800005,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Medium,180000,700500,,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
"Laddie Wood, Loch Garry",10000338,FS1104,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,05-Jun-07,NH221016,Highland,Yes,Ardochy,Glengarry,Inverness-shire,PH35 4HR,,Fish,Freshwater,Low,222100,801600,Not in a management area,Highland,Mowi Scotland Ltd,Atlantic Salmon
Glencripesdale,10000309,FS1094,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,26-May-06,NM678607,Highland,No,N/A,,,,,Fish,Seawater,Medium,167800,760700,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Isle Ewe,10000343,FS1084,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,12-Oct-04,NG839888,Highland,No,N/A,,,,,Fish,Seawater,Medium,183900,888800,10c - Ewe,Highland,Mowi Scotland Ltd,Atlantic Salmon
Groatay,10000394,FS1083,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,08-Sep-04,NF977739,Western Isles,Yes,Hoebeg Cheesebay,Lochmaddy,,HS6 5AT,,Fish,Seawater,Medium,97700,873900,5c - E North Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Inner Skipport,10000317,FS1079,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,28-May-04,NF837385,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,83700,838500,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Gasay Island,10000288,FS1064,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,30-Jul-03,NF800186,Western Isles,No,N/A,,,,,Fish,Seawater,Low,80000,818600,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Ardifuir,20000289,FS1062,N/A,N/A,Seawater Cages,6,100m circles,06-May-03,NR784974,Argyll and Bute,Yes,c/o Kames Fish Farming Ltd,Kilmelford,"By Oban, Argyll",PA34 4XA,,Fish,Seawater,Low,178400,697400,16d - Seil Sound to Loch Craignish,Strathclyde,Mowi Scotland Ltd,N/A
Larval Rearing Unit,10000435,FS1046,Lumpsucker,Fish weighing more than 5 grams,N/A,0,N/A,28-Aug-02,NR628208,Argyll and Bute,Yes,Lossit Point,Machrihanish,Argyll,PA28 6PZ,,Fish,Freshwater and Seawater,Low,162800,620800,18c - Machrihanish,Strathclyde,Mowi Scotland Ltd,Lumpsucker
Seaforth,10000472,FS1042,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,13-Jun-02,NB231032,Western Isles,Yes,The Old Ruin,Maaruig,,HS3 3AG,,Fish,Seawater,High,123100,903200,"5b - SE Lewis, E Harris",Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Portnalong Bay Loch Harport,10000286,FS1039,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,03-Apr-02,NG340360,Highland,No,N/A,,,,,Fish,Seawater,,134000,836000,,Highland,Mowi Scotland Ltd,Atlantic Salmon
North Shore,10000400,FS1033,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Feb-02,NB392228,Western Isles,Yes,Keose Pier,Keose,,HS2 9JT,,Fish,Seawater,Medium,139200,922800,5a - E Lewis,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Lunga East Side,10000322,FS0856,Atlantic Salmon,Broodfish,N/A,0,N/A,24-Jul-99,NM715078,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Medium,171500,707800,,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Bagh Dail Nan Cean,10000358,FS0805,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Jul-99,NM774046,Argyll and Bute,Yes,Craobh Haven,Loch Melfort,,PA31 8UA,,Fish,Seawater,High,177400,704600,16d - Seil Sound to Loch Craignish,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Poll Na Gille,10000361,FS0629,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Jul-99,NM777081,Argyll and Bute,Yes,Craobh Haven,Loch Melfort,,PA31 8UA,,Fish,Seawater,High,177700,708100,16d - Seil Sound to Loch Craignish,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Port Na Cro,10000364,FS0859,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,07-Jul-99,NM760097,Argyll and Bute,Yes,Craobh Haven,Loch Melfort,,PA31 8UA,,Fish,Seawater,Medium,176000,709700,16d - Seil Sound to Loch Craignish,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Becravic,10000262,FS0956,Atlantic Salmon,Broodfish,N/A,0,N/A,05-May-99,NG114904,Western Isles,No,N/A,,,,,Fish,Seawater,,111400,890400,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Sgeir Bhuidhe,10000290,FS0954,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,04-May-99,NB402219,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,140200,921900,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Port Bheachan,10000314,FS0944,Atlantic Salmon,Broodfish,N/A,0,N/A,25-Jan-99,NM810021,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Medium,181000,702100,,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Oronsay East,10000273,FS0940,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-99,NM599594,Highland,No,N/A,,,,,Fish,Seawater,,159900,759400,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Slapin,20000281,FS0011,N/A,N/A,Seawater Cages,0,Steels 15x15,29-Aug-98,NG566207,Highland,No,N/A,,,,,Fish,Seawater,Low,156600,820700,,Highland,Mowi Scotland Ltd,N/A
West Loch Bracadale,10000329,FS0917,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,21-Aug-98,NG256413,Highland,No,N/A,,,,,Fish,Seawater,Medium,125600,841300,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Camas na Gall (Loch Hourn),10000266,FS0014,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,20-Aug-97,NG884067,Highland,No,N/A,,,,,Fish,Seawater,,188400,806700,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Ghlas Mhor,10000677,FS0883,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Oct-96,NC063162,Highland,No,N/A,,,,,Fish,Seawater,Low,206300,916200,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Alisary,10000260,FS0250,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,24-Sep-96,NM737807,Highland,No,N/A,,,,,Fish,Seawater,,173700,780700,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Arbhair,10000279,FS0615,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,14-Jun-96,NB409242,Western Isles,No,N/A,,,,,Fish,Seawater,N/A,140900,924200,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch Lochy,10000377,FS0150,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,11-Jun-96,NN193853,Highland,Yes,Gairlochy,Fort William,Highland,PH34 4EQ,,Fish,Freshwater,Medium,219300,785300,Not in a management area,Highland,Mowi Scotland Ltd,Atlantic Salmon
Invergarry Hatchery,10000239,FS0740,Atlantic Salmon,Eggs (green or eyed),N/A,0,N/A,23-Jan-96,NH298011,Highland,No,N/A,,,,,Fish,Freshwater,,229800,801100,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Marulaig Bay,10000432,FS0865,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,05-Dec-95,NF831163,Western Isles,Yes,Lochboisdale,Gasay Island,,HS8 5TH,,Fish,Seawater,Medium,83100,816300,7b - South Uist,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch Eilt,10000245,FS0218,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,24-Nov-95,NM799825,Highland,No,N/A,,,,,Fish,Freshwater,,179900,782500,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Chnoic Duibhe,10000244,FS0610,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,06-Oct-95,NB361288,Western Isles,No,N/A,,,,,Fish,Freshwater,,136100,928800,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Sunart,10000274,FS0205,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,09-Oct-94,NM785602,Highland,No,N/A,,,,,Fish,Seawater,,178500,760200,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Iobhair,10000248,FS0644,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,12-Aug-94,NB400280,Western Isles,No,N/A,,,,,Fish,Freshwater,,140000,928000,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch an Duna,10000242,FS0847,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,12-Aug-94,NB391262,Western Isles,No,N/A,,,,,Fish,Freshwater,,139100,926200,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Poll Gorm,10000263,FS0075,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,11-Aug-94,NB345212,Western Isles,No,N/A,,,,,Fish,Seawater,,134500,921200,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch Boisdale (An Camus Calvay),10000301,FS0841,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-May-94,NF813182,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,81300,818200,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch Na Muilne,10000254,FS0828,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,21-Mar-94,NB275178,Western Isles,No,N/A,,,,,Fish,Freshwater,,127500,917800,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Waternish,10000283,FS0208,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,14-Sep-93,NG254555,Highland,No,N/A,,,,,Fish,Seawater,,125400,855500,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Carnassarie Hatchery,10000256,FS0757,Atlantic Salmon,Broodfish,N/A,0,N/A,01-Jun-93,NM843012,Argyll and Bute,No,Kilmelford,,Argyll,PA34 4XA,,Fish,Freshwater,Low,184300,701200,Not in a management area,Strathclyde,Mowi Scotland Ltd,Atlantic Salmon
Loch An Duin Scalpay,10000253,FS0503,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,25-May-93,NG225965,Western Isles,No,N/A,,,,,Fish,Freshwater,,122500,896500,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Vaccasay,10000312,FS0480,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-May-93,NF983745,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,98300,874500,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Eishken,10000270,FS0704,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,23-Mar-93,NB320103,Western Isles,No,N/A,,,,,Fish,Seawater,,132000,910300,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
North Moine,20000290,FS0356,N/A,N/A,Seawater Cages,12,12x 80m Polar circles,10-Oct-92,NM805015,Argyll and Bute,Yes,c/o Kames Fish Farming Ltd,Kilmelford,"By Oban, Argyll",PA34 4XA,,Fish,Seawater,Low,180500,701500,16d - Seil Sound to Loch Craignish,Strathclyde,Mowi Scotland Ltd,N/A
Loch Eiseort,10000287,FS0077,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,24-Jun-92,NG650155,Highland,No,N/A,,,,,Fish,Seawater,Low,165000,815500,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Tarner Island,10000296,FS0763,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Feb-92,NG301392,Highland,No,N/A,,,,,Fish,Seawater,Medium,130100,839200,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Glenfinnan,10000470,FS0742,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,08-Jan-92,NM887792,Highland,Yes,The Cottage,Guesachan Polloch Forestry Road,Inverness-shire,PH37 4LU,,Fish,Freshwater,Low,188700,779200,Not in a management area,Highland,Mowi Scotland Ltd,Atlantic Salmon
Inverpolly,10006551,FS0264,Atlantic Salmon,Broodfish,N/A,1,N/A,01-Jan-92,NC075134,Highland,Yes,Inverpolly,Ross-shire,,IV26 2YB,,Fish,Freshwater,High,207500,913400,Not in a management area,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch An Sal,10000679,FS0266,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-92,NC068153,Highland,No,N/A,,,,,Fish,Seawater,Low,206800,915300,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Aultbea,10000277,FS0729,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Nov-91,NG868863,Highland,No,N/A,,,,,Fish,Seawater,,186800,886300,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Cairidh,10000459,FS0252,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Nov-91,NG554286,Highland,Yes,"Caol Mhor, Maol Ban",Sconser,,IV48 8TD,,Fish,Seawater,Medium,155400,828600,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Mowi Scotland Ltd,Atlantic Salmon
Invergarry,10000238,FS0215,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Nov-91,NH298011,Highland,No,N/A,,,,,Fish,Freshwater,,229800,801100,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Nostie,10000261,FS0315,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Nov-91,NG851251,Highland,No,N/A,,,,,Fish,Seawater,,185100,825100,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Hourn (Arnisdale),10000265,FS0013,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,06-Sep-91,NG840104,Highland,No,N/A,,,,,Fish,Seawater,,184000,810400,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Alsh (Sron),10000447,FS0016,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,30-Aug-91,NG785255,Highland,Yes,Railway Pier,Ross-shire,Ross-shire,IV40 8AT,,Fish,Seawater,Medium,178500,825500,"14a - Carron, Kishorn, Alsh, Duich",Highland,Mowi Scotland Ltd,Atlantic Salmon
Soay,10000336,FS0646,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,10-May-91,NB064058,Western Isles,Yes,Ardhasaig,,,HS3 3DJ,,Fish,Seawater,Low,106400,905800,"6b - West Loch Tarbert, W Harris",Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch Thorsagearriadh,10000251,FS0705,Atlantic Salmon,Broodfish,N/A,0,N/A,01-May-91,NG046842,Western Isles,No,N/A,,,,,Fish,Freshwater,,104600,884200,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Creag an T'Sagairt (Loch Hourn),10000340,FS0605,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,13-Nov-90,NG803096,Highland,Yes,Arnisdale,Glenelg,Ross-shire,IV40 8JH,,Fish,Seawater,Low,180300,809600,14b - Hourn,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch A'Gheo'idh,10000247,FS0564,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,17-Oct-90,NG066875,Western Isles,No,N/A,,,,,Fish,Freshwater,,106600,887500,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
MacLean's Nose,10000403,FS0599,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,04-Sep-90,NM524622,Highland,Yes,Kilchoan Pier,Kilchoan,,PH36 4LH,,Fish,Seawater,High,152400,762200,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Mowi Scotland Ltd,Atlantic Salmon
Ornish Island,10000418,FS0531,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,23-May-90,NF853385,Western Isles,Yes,Loch Skiport,South Uist,Outer Hebrides,HS8 5NS,,Fish,Seawater,Medium,85300,838500,"7a - Ronay, Benbecula, N South Uist",Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Maol Ban,10000352,FS0519,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Apr-90,NG563311,Highland,Yes,"Caol Mhor, Maol Ban",Sconser,,IV48 8TD,,Fish,Seawater,High,156300,831100,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Leven(2),10000267,FS0521,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,30-Mar-90,NN116605,Highland,No,N/A,,,,,Fish,Seawater,,211600,760500,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Stattic Point,10000258,FS0422,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-90,NG978960,Highland,No,N/A,,,,,Fish,Seawater,,197800,896000,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Grimshader,10000257,FS0163,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,NB403254,Western Isles,No,N/A,,,,,Fish,Seawater,,140300,925400,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
West Loch Tarbert,10000298,FS0416,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,NB115007,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,111500,900700,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Loch Greshornish,10000385,FS0015,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,24-Nov-88,NG351555,Highland,Yes,Greshornish,Edinbane,Isle of Skye,IV51 9PN,,Fish,Seawater,Medium,135100,855500,12a - Snizort,Highland,Mowi Scotland Ltd,Atlantic Salmon
Pairc,10000306,FS0703,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,28-Oct-88,NB347102,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,134700,910200,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
Bothan Bay,10000272,FS0210,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Oct-88,NM760600,Highland,No,N/A,,,,,Fish,Seawater,,176000,760000,,Highland,Mowi Scotland Ltd,Atlantic Salmon
Loch Mheacleit,10000249,FS0153,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,15-Apr-88,NB049365,Western Isles,No,N/A,,,,,Fish,Freshwater,,104900,936500,,Western Isles,Mowi Scotland Ltd,Atlantic Salmon
