site id,name,site status,approval date,approval type,site capacity,temporary_capacity,capacity_unit_type,placement,water_type,site_details,county,municipality_id,municipality,production_area_code,latitude,longitude,symbol,species,company,site_url,external_site_url,permits,purpose,production_method
19995,HAGAHAMMAREN,KLARERT,15/07/2003 22:00,PERMANENT,4680,4680,TN,SJØ,Marine,19995 HAGAHAMMAREN,MØRE OG ROMSDAL,1576,AURE,6,63.137917,8.0306,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/19995,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/19995,"M-HS-0004, M-MD-0013",KOMMERSIELL,Matfisk
26135,KJØRSVIKGRUNN,KLARERT,27/03/2006 22:00,PERMANENT,7020,7020,TN,SJØ,Marine,26135 KJØRSVIKGRUNN,TRØNDELAG,5055,HEIM,6,63.457717,9.0756,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/26135,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/26135,"ST-H-0046, ST-H-0011, ST-H-0018, ST-H-0010, ST-H-0027, ST-H-0003, ST-H-0045, ST-H-0019, ST-H-0002, ST-H-0022",KOMMERSIELL,Matfisk
29896,RENNDALEN,KLARERT,08/01/2009 23:00,PERMANENT,3120,3120,TN,SJØ,Marine,29896 RENNDALEN,TRØNDELAG,5055,HEIM,6,63.176117,8.6172,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/29896,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/29896,"M-AE-0001, M-AE-0004, M-HS-0002, M-HS-0001",KOMMERSIELL,Matfisk
30137,EDØYA II,KLARERT,22/04/2009 22:00,PERMANENT,3120,3120,TN,SJØ,Marine,30137 EDØYA II,TRØNDELAG,5056,HITRA,6,63.65805,8.683667,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/30137,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/30137,"ST-H-0015, ST-H-0012, ST-H-0045, ST-H-0011",KOMMERSIELL,Matfisk
30377,HOGSNESET N,KLARERT,04/08/2009 22:00,PERMANENT,3120,3120,TN,SJØ,Marine,30377 HOGSNESET N,MØRE OG ROMSDAL,1554,AVERØY,6,63.099933,7.670267,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/30377,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/30377,"M-FI-0006, M-FI-0004, M-FI-0005, M-FI-0003",KOMMERSIELL,Matfisk
37717,VASSGÅSHOLMEN,KLARERT,21/08/2017 22:00,MIDLERTIDIG,3120,3120,TN,SJØ,Marine,37717 VASSGÅSHOLMEN,TRØNDELAG,5059,ORKLAND,6,63.592167,9.339833,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/37717,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/37717,"ST-SI-0013, ST-F-0023, ST-F-0022, ST-F-0030, ST-SI-0001, ST-HE-0011, ST-F-0003, ST-H-0019, ST-H-0022",KOMMERSIELL,Matfisk
12294,KJERSTAD,KLARERT,21/06/2012 22:00,PERMANENT,6240,6240,TN,SJØ,Marine,12294 KJERSTAD,MØRE OG ROMSDAL,1580,HARAM,5,62.622567,6.22535,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","LERØY MIDT SJØ AS, LERØY VEST SJØ AS",https://sikker.fiskeridir.no/aquareg/web/sites/12294,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12294,"M-SR-0003, M-TV-0010, M-TV-0002, M-TV-0007, M-T-0014, M-T-0001, M-SU-0002, M-TV-0001",KOMMERSIELL,Matfisk
20776,STOROKSEN,KLARERT,22/10/2003 22:00,PERMANENT,3120,3120,TN,SJØ,Marine,20776 STOROKSEN,VESTLAND,4627,ASKØY,4,60.530883,4.97325,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","LERØY MIDT SJØ AS, LERØY VEST SJØ AS",https://sikker.fiskeridir.no/aquareg/web/sites/20776,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/20776,"H-F-0013, H-F-0001, H-F-0005, H-A-0014",KOMMERSIELL,Matfisk
31677,SANDHOLMANE,KLARERT,14/03/2011 23:00,MIDLERTIDIG,4680,4680,TN,SJØ,Marine,31677 SANDHOLMANE,MØRE OG ROMSDAL,1547,AUKRA,5,62.796583,6.67125,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","LERØY MIDT SJØ AS, LERØY VEST SJØ AS",https://sikker.fiskeridir.no/aquareg/web/sites/31677,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/31677,"M-SR-0003, M-TV-0002, M-T-0014, M-T-0001, M-SU-0002, M-TV-0001",KOMMERSIELL,Matfisk
13644,TEPSTAD,KLARERT,09/01/2000 23:00,PERMANENT,5460,5460,TN,SJØ,Marine,13644 TEPSTAD,VESTLAND,4630,OSTERØY,4,60.5549,5.381767,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret","LERØY MIDT SJØ AS, SJØTROLL HAVBRUK SJØ AS",https://sikker.fiskeridir.no/aquareg/web/sites/13644,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/13644,"H-OR-0003, H-OR-0005, H-A-0014, H-OR-0007, H-OR-0006",KOMMERSIELL,Matfisk
12020,OLDERHOLA,KLARERT,06/08/2001 22:00,PERMANENT,154,154,DA,SJØ,Marine,12020 OLDERHOLA,VESTLAND,4617,KVINNHERAD,,60.114117,6.190267,"Bløtdyr, krepsdyr, pigghuder","Blåskjell, Butare, Fingertare, Fjærehinne uspes, Havsalat, Sukkertare (oppdrett), Søl",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/12020,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12020,"H-K-0903, H-K-0905, H-K-0357, H-K-0902, H-K-0906, H-K-0901, H-K-0904",KOMMERSIELL,"Akvakulturdyr i tidlige livsstadier, Alger til konsum"
12023,HUNDASVOSKJERET,KLARERT,09/04/2001 22:00,PERMANENT,110,110,DA,SJØ,Marine,12023 HUNDASVOSKJERET,VESTLAND,4617,KVINNHERAD,,60.11175,6.17085,"Bløtdyr, krepsdyr, pigghuder","Blåskjell, Butare, Fingertare, Fjærehinne uspes, Havsalat, Sukkertare (oppdrett), Søl",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/12023,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12023,"H-K-0910, H-K-0911, H-K-0912, H-K-0358, H-K-0909, H-K-0908, H-K-0907",KOMMERSIELL,"Akvakulturdyr i tidlige livsstadier, Alger til konsum"
18496,KALAND,KLARERT,19/02/2003 23:00,PERMANENT,44,44,DA,SJØ,Marine,18496 KALAND,VESTLAND,4618,ULLENSVANG,,60.47145,6.764933,"Bløtdyr, krepsdyr, pigghuder",Blåskjell,LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/18496,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/18496,H-U-0306,KOMMERSIELL,Akvakulturdyr til konsum
38237,TONESET,KLARERT,22/02/2018 23:00,PERMANENT,120,120,DA,SJØ,Marine,38237 TONESET,VESTLAND,4616,TYSNES,,60.07015,5.443817,"Bløtdyr, krepsdyr, pigghuder","Blåskjell, Butare, Fingertare, Havsalat, Sukkertare (oppdrett), Søl, Vanlig fjærehinne",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/38237,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/38237,"H-T-0307, H-T-0912, H-T-0909, H-T-0910, H-T-0908, H-T-0911, H-T-0907",KOMMERSIELL,"Akvakulturdyr i tidlige livsstadier, Alger til konsum"
38457,TROLLSØY,KLARERT,31/05/2018 22:00,PERMANENT,352,352,DA,SJØ,Marine,38457 TROLLSØY,VESTLAND,4625,AUSTEVOLL,,60.13035,5.248183,Alger,"Butare, Fingertare, Fjærehinne uspes, Havsalat, Sukkertare (oppdrett), Søl",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/38457,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/38457,"H-AV-0941, H-AV-0942, H-AV-0943, H-AV-0940, H-AV-0939, H-AV-0944",KOMMERSIELL,Alger til konsum
38497,EIKENESET,KLARERT,06/06/2018 22:00,PERMANENT,110,110,DA,SJØ,Marine,38497 EIKENESET,VESTLAND,4617,KVINNHERAD,,60.121467,6.219617,"Bløtdyr, krepsdyr, pigghuder","Blåskjell, Butare, Fingertare, Fjærehinne uspes, Havsalat, Sukkertare (oppdrett), Søl",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/38497,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/38497,"H-K-0359, H-K-0920, H-K-0919, H-K-0918, H-K-0922, H-K-0921, H-K-0923",KOMMERSIELL,"Akvakulturdyr i tidlige livsstadier, Alger til konsum"
38737,FLATØYSUNDET,KLARERT,13/08/2018 22:00,PERMANENT,127,127,DA,SJØ,Marine,38737 FLATØYSUNDET,VESTLAND,4625,AUSTEVOLL,,60.148367,5.22725,Alger,"Butare, Fingertare, Fjærehinne uspes, Havsalat, Sukkertare (oppdrett), Søl",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/38737,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/38737,"H-AV-0950, H-AV-0946, H-AV-0947, H-AV-0948, H-AV-0949, H-AV-0945",KOMMERSIELL,Alger til konsum
45151,ROSSMUNHOLMEN,KLARERT,01/12/2022 23:00,PERMANENT,42,42,DA,SJØ,Marine,45151 ROSSMUNHOLMEN,VESTLAND,4625,AUSTEVOLL,,60.038067,5.0748,Alger,"Butare, Fingertare, Fjærehinne uspes, Havsalat, Sukkertare (oppdrett), Søl",LERØY OCEAN HARVEST AS,https://sikker.fiskeridir.no/aquareg/web/sites/45151,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/45151,"VL-AV-0028, VL-AV-0027, VL-AV-0025, VL-AV-0030, VL-AV-0026, VL-AV-0029",KOMMERSIELL,Alger til konsum
